Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
1469;Torque Sensor;CDI;201-O-MT;Calibration;Dave Niezgodzki;MC Lab;Active;;F. V. M.;LW-TD02-TS02;365;Torque Measurement;;0303800004;1467;;;;;;Lab;Torque;2 to 20 oz.-in.;Working;;4/7/2022;;4/7/2021;;;;;;;;;;;;;;;;;False;Engineering
1470;Torque Sensor;CDI;501-I-MT;Calibration;Dave Niezgodzki;MC Lab;Active;;F. V. M.;LW-TD02-TS03;365;Torque Measurement;;0402800006;1467;;;;;;Lab;Torque;5 to 50 in.-lb;Working;;4/7/2022;;4/7/2021;;;;;;;;;;;;;;;;;False;Engineering
1471;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI42;365;Digital Pressure Indicator;; M088335;;;;;;QW-5201-B;Manufacturing;Pressure;0 - 2.5" W.C.;Working;;3/24/2022;;3/24/2021;;;;;;;;;;;;;;;;;False;Wakarusa
1472;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI43;365;Digital Pressure Indicator;; M088333;;;;;;QW-5201-C;Manufacturing;Pressure;0 - 2.5" W.C.;Working;;3/24/2022;;3/24/2021;;;;;;;;;;;;;;;;;False;Wakarusa
1473;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI44;365;Digital Pressure Indicator;; M088331;;;;;;QW-5201-H;Manufacturing;Pressure;0 - 2.5" W.C.;Working;;3/24/2022;;3/24/2021;;;;;;;;;;;;;;;;;False;Wakarusa
1474;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI45;365;Digital Pressure Indicator;;M088336;;;;;;QW-5202-E;Manufacturing;Pressure;0 - 5" W.C.;Working;;3/24/2022;;3/24/2021;;;;;;;;;;;;;;;;;False;Wakarusa
1475;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI46;365;Digital Pressure Indicator;;M088334;;;;;;QW-5202-F;Manufacturing;Pressure;0 - 5" W.C.;Working;;3/24/2022;;3/24/2021;;;;;;;;;;;;;;;;;False;Wakarusa
1476;Oscilloscope ;Lecroy;Waverunner 204Xi;Calibration;Dave Niezgodzki;MC Lab;Active;;Trescal;LR-OS02;365;Electrical Measurement;;702KMS;;;;;;;Lab;Frequency;Multi;Primary;;4/13/2022;;4/13/2021;;;;;;;;;;;;;;;;;False;Engineering
1477;Temperature & Humidity Transmitter;Vaisala;HMT331;Calibration;Dave Niezgodzki;Manufacturing Engineering;Active;;Vaisala;MW-HMT38;365;Humidity & Temperature;;H3510132;;;;;;;Manufacturing;Temperature & Humidity;0 - 100% rH, -40 - 140 Deg. F;Working;;4/9/2022;;4/9/2021;;;;;;;;;;;;;;;;;False;Manufacturing Engineering
1478;Mensor Calibrator;Mensor;DPG2300;Calibration;Dave Niezgodzki;R64;Active;;Mensor;MW-MFC141;365;Multi-Function Calibrator;;640288;;;;;;;Manufacturing;Pressure;0- 20"WC, 4 - 20 mA;Working;;4/14/2022;;4/14/2021;;;;;;;;;;;;;;;;;False;R64
